"city","state","lat","lon"
"McMillin","WA",47.1286,-122.2374
"La Grande","WA",46.8199,-122.2962
"Cromwell","WA",47.2743,-122.6224
"Berrydale","WA",47.3398,-122.1279
"Wenatchee","WA",47.4338,-120.3285
"Urban","WA",48.6179,-122.6921
"Maplewood","WA",47.3715,-122.5689
"Marys Corner","WA",46.5471,-122.8226
"Mattawa","WA",46.7364,-119.9019
"Cove","WA",47.452,-122.5079
"Chico","WA",47.6234,-122.7198
"Maple Falls","WA",48.9135,-122.1049
"Colvos","WA",47.4762,-122.4907
"Ames Lake","WA",47.6346,-121.9664
"Ellisforde","WA",48.7899,-119.4012
"Selah","WA",46.6482,-120.5389
"Pine Lake","WA",47.5787,-122.0462
"Tampico","WA",46.5325,-120.8727
"Colton","WA",46.5675,-117.1285
"Usk","WA",48.3138,-117.2797
"Cle Elum","WA",47.1946,-120.9553
"Omak","WA",48.4227,-119.5159
"Eureka","WA",46.3032,-118.6167
"Harrington","WA",47.4802,-118.2553
"Sedro-Woolley","WA",48.5113,-122.232
"Cherry Grove","WA",45.8021,-122.5764
"La Push","WA",47.9087,-124.6366
"Lake Ketchum","WA",48.282,-122.348
"Arletta","WA",47.2901,-122.6676
"Opportunity","WA",47.6574,-117.2399
"Glenoma","WA",46.5146,-122.1601
"Curlew","WA",48.8777,-118.6045
"Hartline","WA",47.6894,-119.1081
"Midland","WA",47.1734,-122.412
"Adna","WA",46.629,-123.0612
"Roslyn","WA",47.2507,-121.0987
"Deer Park","WA",47.9642,-117.4397
"Tracyton","WA",47.6095,-122.6533
"Hunts Point","WA",47.642,-122.229
"Koontzville","WA",48.0157,-118.9472
"Fruitland","WA",48.071,-118.1989
"Chewelah","WA",48.2929,-117.7336
"Mohler","WA",47.4049,-118.3291
"East Renton Highlands","WA",47.4718,-122.0854
"Sunnyside","WA",46.3159,-120.0058
"Long Lake","WA",47.836,-117.8488
"Wauna","WA",47.3861,-122.6693
"Liberty","WA",47.2537,-120.6654
"Normandy Park","WA",47.4344,-122.3436
"Mirrormont","WA",47.4616,-121.9936
"Parkwood","WA",47.5265,-122.5986
"Jamestown","WA",48.1229,-123.0911
"Forks","WA",47.9526,-124.3904
"Wallula","WA",46.0847,-118.9056
"Nighthawk","WA",48.9665,-119.642
"SeaTac","WA",47.4445,-122.2986
"Royal City","WA",46.9,-119.6142
"Beaux Arts Village","WA",47.5854,-122.2009
"Steilacoom","WA",47.17,-122.5935
"Northport","WA",48.9159,-117.7796
"Eldon","WA",47.5454,-123.046
"Ridgefield","WA",45.8116,-122.7052
"Ryderwood","WA",46.3749,-123.0441
"Manchester","WA",47.5519,-122.5517
"Vashon Heights","WA",47.5057,-122.4654
"Salmon Creek","WA",45.7099,-122.6632
"Vantage","WA",46.9453,-119.9923
"Creston","WA",47.7596,-118.5201
"Soap Lake","WA",47.3914,-119.4892
"Silver Firs","WA",47.8635,-122.1497
"Plaza","WA",47.3202,-117.3838
"Machias","WA",47.9917,-122.0515
"Neah Bay","WA",48.3612,-124.6115
"Malo","WA",48.7998,-118.6119
"Clyde Hill","WA",47.6303,-122.218
"Marlin","WA",47.4074,-118.985
"North Yelm","WA",46.9647,-122.6028
"Grand Coulee","WA",47.9391,-119.0031
"Outlook","WA",46.3311,-120.0923
"Clinton","WA",47.9731,-122.3577
"Evans","WA",48.7135,-118.0253
"Browns Point","WA",47.3036,-122.4369
"Kennewick","WA",46.1979,-119.1732
"North Marysville","WA",48.1112,-122.1459
"Beaver Valley","WA",47.9259,-122.7302
"Ahtanum","WA",46.5581,-120.6099
"Carbonado","WA",47.0805,-122.0536
"Hyak","WA",47.3929,-121.3929
"Arlington Heights","WA",48.2119,-122.0631
"North Sultan","WA",47.8827,-121.8251
"Pullman","WA",46.7342,-117.1661
"Wymer","WA",46.826,-120.4598
"Adelaide","WA",47.3309,-122.3604
"Peaceful Valley","WA",48.9477,-122.1406
"West Richland","WA",46.3115,-119.3997
"Fife Heights","WA",47.2593,-122.3457
"Manson","WA",47.8858,-120.1563
"Sprague","WA",47.3048,-117.9713
"Cosmopolis","WA",46.9541,-123.7725
"Redondo","WA",47.3484,-122.3235
"Waller","WA",47.2035,-122.3699
"Addy","WA",48.3588,-117.8372
